1342019916812136448 2020-12-24 16:10:56 +0800 <GrootKo> De Noorse prinses heeft samen met de Afrikaanse sjamaan al haar geld verspild  https://t.co/fHrSuhtk1c via @DissidentNL
1342019561646944256 2020-12-24 16:09:31 +0800 <GrootKo> World Economic Forum erkent dat Davos 2021 het “Great Reset Initiative” zal onthullen.  https://t.co/6ADjh6qGsq via @Frontnieuws
1342019309271478272 2020-12-24 16:08:31 +0800 <GrootKo> LOL! Hypocriete Jan de Hoop klaagt over drukte in supermarkt: ‘Ze botsten tegen me aan!’  https://t.co/6bGtWq2Fm5
1341887450273230848 2020-12-24 07:24:33 +0800 <GrootKo> Het was geen fijne zomer voor de multiculturele samenleving  https://t.co/TUhaDq1pVH #Discriminatie # Multicultuur # Racisme
1341874782434979840 2020-12-24 06:34:13 +0800 <GrootKo> Mohammad martelde zijn vriendin toen ze uit elkaar wilde gaan – verbrijzelde 11 botten met honkbalknuppel  https://t.co/JgO7AQFr2O via @Frontnieuws
1341837493205954561 2020-12-24 04:06:03 +0800 <GrootKo> 398 geradicaliseerden en terroristen op vrije voeten  https://t.co/Z8UAyHt7s7 via @SCEPTR_online
1341833731095605248 2020-12-24 03:51:06 +0800 <GrootKo> Hilarisch! Progressieve Amsterdamse bestuurders en inwoners vinden eigen bestuur rampzalig  https://t.co/XFBQLpaHpG
1341831835878383617 2020-12-24 03:43:34 +0800 <GrootKo> NEXIT Denktank: Overzicht  https://t.co/tqgEmkzxYP via @YouTube
1341819052835139585 2020-12-24 02:52:46 +0800 <GrootKo> Rutte en De Jonge zitten niet te wachten op vragen over Demmink: ‘Kun je die gast even weghalen?’  https://t.co/Y8Kapp3jL3
1341818748949413890 2020-12-24 02:51:34 +0800 <GrootKo> Wopke Hoekstra (CDA) blijkt leugenaar: wist al lang dat Hugo de Jonge zou vertrekken als lijsttrekker  https://t.co/PWK8Fsg6fz
1341818547622842369 2020-12-24 02:50:46 +0800 <GrootKo> TPO Vacature Woensdag: VARA (NPO) zoekt ‘projectleider inclusiviteit’  https://t.co/ORK5t3hRnW via @TPOnl
